Key,Id,English(en),Russian(ru)
CINEMATIC_INTRO_001,836737302519808,"We found an ancient gateway, half-buried and forgotten. No one knew where it led.","Мы нашли древние врата, наполовину занесённые землёй и забытые. Никто не знал, куда они ведут."
CINEMATIC_INTRO_002,836828981616640,I crossed with the expedition. Our maps were useless the moment we stepped through.,"Я перешёл вместе с экспедицией. Наши карты стали бесполезны, едва мы ступили за порог."
CINEMATIC_INTRO_003,836931544932352,The realm felt wrong from the first breath. Then the gateway sealed behind us.,Этот мир с первого вздоха ощущался неправильным. А потом врата запечатались за нашими спинами.
CINEMATIC_INTRO_004,836984934227968,"That night, twisted monstrosities hit our camp. Demons came after to take what was left.","Той ночью искажённые чудовища обрушились на наш лагерь. Следом пришли демоны — забрать то, что осталось."
CINEMATIC_INTRO_005,837031650385920,"I woke alone in a crypt, buried beneath the dead.","Я очнулся один в склепе, погребённый под мёртвыми."
CINEMATIC_INTRO_006,837087505932288,"If any survived, I will find them. If there is a way home, I will open it.","Если кто-то выжил, я их найду. Если есть путь домой, я его открою."
CRYPT_PRINCE_BOSS_SPAWN_BARK_001,837100000000026,"Kneel in my crypt, or be sealed beneath it.",Преклони колени в моём склепе — или будешь запечатан под ним.
CRYPT_PRINCE_BOSS_SPAWN_BARK_002,837100000000027,Bone remembers every oath broken here.,"Кость помнит каждую клятву, что нарушили здесь."
CRYPT_PRINCE_BOSS_SPAWN_BARK_003,837100000000028,This tomb still has room for one more.,В этой гробнице ещё найдётся место для одного.
CRYPT_PRINCE_BOSS_SPAWN_BARK_004,837100000000039,A guest from above. How rare.,Гость сверху. Какая редкость.
EXECUTOR_BOSS_SPAWN_BARK_001,837100000000029,Sentence passed.,Приговор вынесен.
EXECUTOR_BOSS_SPAWN_BARK_002,837100000000030,"Run, then. The axe prefers pursuit.","Что ж, беги. Топор любит погоню."
EXECUTOR_BOSS_SPAWN_BARK_003,837100000000031,Your judgment arrives in iron and flame.,Твой приговор приходит в железе и пламени.
EXECUTOR_BOSS_SPAWN_BARK_004,837100000000040,"Centuries pass, and still your kind returns.","Проходят века, а ваше племя всё возвращается."
GARRICK_CAMP_AMBIENT_BARK_001,720000000000024,The dead here do not stay properly dead.,Мёртвые здесь не желают оставаться мёртвыми как положено.
GARRICK_CAMP_AMBIENT_BARK_002,720000000000025,Every expedition needs records. Even failed ones.,Каждой экспедиции нужны записи. Даже провальной.
GARRICK_CAMP_AMBIENT_BARK_003,720000000000026,I keep notes. Mostly to prove we are not all mad.,"Я веду заметки. В основном чтобы доказать, что мы тут не все спятили."
GARRICK_CAMP_ENTER_BARK_001,720000000000021,Still breathing? Good. Keep doing that.,Ещё дышишь? Хорошо. Так и продолжай.
GARRICK_CAMP_ENTER_BARK_002,720000000000022,Back already? The realm must like chewing on you.,"Уже вернулся? Видать, этому миру нравится тебя жевать."
GARRICK_CAMP_ENTER_BARK_003,720000000000023,I found you half-dead once. Try not to make it tradition.,Однажды я нашёл тебя полумёртвым. Постарайся не делать из этого традицию.
GARRICK_CAMP_INTRO_001,720000000000000,"Ah, you're alive. Dragged you back from that crypt myself, you owe me.","А, ты жив. Сам вытащил тебя из того склепа — теперь ты мне должен."
GARRICK_CAMP_INTRO_002,720000000000001,Portal sealed after the attack. Still humming though - go take a look.,Портал запечатался после нападения. Но всё ещё гудит — сходи глянь.
