Key,Id,English(en),Russian(ru)
ABILITY_TOOLTIP_MAIN_ATTACK_HEADER_FORMAT,50984700076045,{abilityName} (Main Attack),{abilityName} (основная атака)
ACCEPT_CHALLENGE_BUTTON,802297805266944,Accept,Принять
ACHIEVEMENTS_RECENT_TITLE,672501356027904,Recent Achievements,Недавние достижения
ACHIEVEMENTS_SIDEBAR_CATEGORIES_LABEL,672303510708224,Categories,Категории
ACHIEVEMENTS_SIDEBAR_SUMMARY_TOGGLE,672673611898880,Summary,Сводка
ACHIEVEMENTS_SIDEBAR_TRACKED_TOGGLE,672774178725888,Tracked ({trackedAmount}),Отслеживаемые ({trackedAmount})
ACHIEVEMENTS_UNLOCKED_TITLE,672376109916160,Achievements Unlocked,Достижение получено
ACHIEVEMENTS_WINDOW_TITLE,672225173692416,Achievements,Достижения
ACHIEVEMENT_EARNED_LABEL,799143311171584,Achievement Earned,Достижение получено
ACHIEVEMENT_REWARD_AMOUNT_LABEL,107679455371279,+{rewardAmount},+{rewardAmount}
ACHIEVEMENT_REWARD_CLAIM_BUTTON,107679455371280,Claim,Забрать
ACHIEVEMENT_TRACKING_TOOLTIP,107679455371277,Tracked achievements will display in the game with progress.\nYou can track up to 3 achievements,Отслеживаемые достижения отображаются в игре с прогрессом.\nМожно отслеживать до 3 достижений
ACHIEVEMENT_TRACK_LIMIT_WARNING,107679455371278,Can track maximum 3 achievements,Можно отслеживать не более 3 достижений
ACHIEVEMENT_TRACK_TOGGLE,674575913312256,Track,Отслеживать
ACHIEVEMENT_UNLOCKED_CONTENT_LABEL,676173716643840,Unlocked,Разблокировано
ACHIEVEMENT_UNLOCKS_CONTENT_LABEL,676058213900288,Unlocks,Разблокирует
ARSENAL_ABILITIES_POOL_HINT,677641710460928,Your Abilities appear during a run from Shrine of Power,Способности появляются в забеге из Святилища силы
ARSENAL_ADD_TO_POOL_BUTTON,679493529231360,Equip,Экипировать
ARSENAL_BUILD_TAGS_LABEL,683628538355712,Tags,Теги
ARSENAL_DEFAULT_ITEM_CANNOT_REMOVE_MESSAGE,678276241547264,This is a default item and cannot be removed from your Arsenal,"Это предмет по умолчанию, его нельзя убрать из Арсенала"
ARSENAL_FILTER_ABILITY_LABEL,710000000000051,Abilities,Способности
ARSENAL_FILTER_ALL_LABEL,710000000000050,All,Все
ARSENAL_FILTER_MORPH_LABEL,710000000000055,Global Morphs,Глобальные морфы
ARSENAL_FILTER_RELIC_COMMON_LABEL,710000000000052,Common Relics,Обычные реликвии
ARSENAL_FILTER_RELIC_EPIC_LABEL,710000000000054,Epic Relics,Эпические реликвии
ARSENAL_FILTER_RELIC_RARE_LABEL,710000000000053,Rare Relics,Редкие реликвии
ARSENAL_INACTIVE_ABILITIES,838502940925952,Inactive Abilities,Неактивные способности
ARSENAL_INACTIVE_MORPHS,838411358298112,Inactive Morphs,Неактивные морфы
ARSENAL_INACTIVE_RELICS,838473052315648,Inactive Relics,Неактивные реликвии
ARSENAL_MINIMUM_POOL_THRESHOLD_MESSAGE,678359100022784,"This item cannot be removed, some slots must always be filled.",Этот предмет нельзя убрать: часть слотов всегда должна быть заполнена.
ARSENAL_MORPHS_POOL_HINT,677503873048576,Your Morphs appear during a run when Leveling Up,Морфы появляются в забеге при повышении уровня
ARSENAL_RECOMMENDED_STATS_HINT,678126353899520,What to look for on gear,Что искать на снаряжении
ARSENAL_RECOMMENDED_STATS_TITLE,678060880814080,Recommended Stats,Рекомендуемые характеристики
ARSENAL_RELICS_POOL_HINT,677590225379328,Your Relics appear during a run from Treasure Chests,Реликвии появляются в забеге из сундуков с сокровищами
ARSENAL_REMOVE_FROM_POOL_BUTTON,679851445968896,Remove,Убрать
ARSENAL_REQUIRES_ACHIEVEMENT_LABEL,678580689297408,Requires,Требуется
ARSENAL_UNLOCK_SELECTION_BUTTON,679388902318080,Learn,Изучить
ARSENAL_WINDOW_TITLE,677194379550720,Arsenal,Арсенал
ASCEND_AFFIX_INFUSED_POSTFIX,1200000000000026, (Infused), (Влитый)
ASCEND_AFFIX_POSSIBLE_ROLL_LABEL,1200000000000024,Possible Roll,Возможное значение
ASCEND_AFFIX_POSSIBLE_ROLL_RANGE_FORMAT,1200000000000025,{minValue} to {maxValue},{minValue} — {maxValue}
ASCENSION_PLAYTEST_UNAVAILABLE,7219222164791296,"Ascension not available in Playtest
Mythic gear coming up in Demo","Вознесение недоступно в плейтесте
Мифическое снаряжение появится в демо"
AVAILABLE_IN_DEMO_HINT,4697145255911424,"Not available in this playtest
Coming in the demo","Недоступно в этом плейтесте
Появится в демо"
AVAILABLE_IN_EA_HINT,4697242366631936,Available in Early Access,Доступно в раннем доступе
BLACKSMITH_ASCEND_BUTTON,781977799090176,Ascend,Вознести
BLACKSMITH_ASCEND_HEADER,781798140272640,Ascend to Mythic Rarity,Вознести до мифической редкости
BLACKSMITH_ASCEND_REQUIREMENT_LABEL,781896748359680,Requires Legendary item with Major Affix,Нужен легендарный предмет с крупным аффиксом
BLACKSMITH_ASCEND_TAB,781042066644992,Ascend,Вознесение
BLACKSMITH_EMPOWER_ARCHIVE_HINT,781254432645120,Choose archived power,Выбрать архивную силу
BLACKSMITH_EMPOWER_BUTTON,781382107258880,Empower,Усилить
BLACKSMITH_EMPOWER_HEADER,781116356157440,Upgrade to Legendary,Улучшить до легендарного
BLACKSMITH_EMPOWER_REQUIREMENT_LABEL,781208354021376,Common/Rare item with Major Affix,Обычный или редкий предмет с крупным аффиксом
BLACKSMITH_EMPOWER_TAB,780994108973056,Empower,Усиление
BLACKSMITH_INFUSE_BUTTON,781610327728128,Infuse,Влить
BLACKSMITH_INFUSE_DESC,781535400681472,Raises all item properties by {0}%,Повышает все свойства предмета на {0}%
BLACKSMITH_INFUSE_HEADER,781488479002624,Infuse Properties,Влить свойства
BLACKSMITH_INFUSE_TAB,780940631597056,Infuse,Вливание
BLACKSMITH_WINDOW_TITLE,780887556874240,Blacksmith,Кузнец
BOSS_SUMMON_BUTTON,705820764397568,Summon,Призвать
