Key,Id,English(en),Russian(ru)
ABILITY_ARCANE_MISSILE_NAME,56850346139648,Arcane Missile,Чародейская ракета
ABILITY_CHASING_LIGHTNING_DESC,50954845020160,"Calls down a lightning, auto targeting enemies and dealing {0} damage.","Призывает молнию, автоматически наводясь на врагов и нанося {0} урона."
ABILITY_CHASING_LIGHTNING_NAME,56850241282048,Chasing Lightning,Преследующая молния
ABILITY_DEATHCOIL_DESC,50954853408769,"Fires projectiles at random enemies that apply {0}, dealing {1} damage.","Выпускает снаряды по случайным врагам, накладывая {0} и нанося {1} урона."
ABILITY_DEATHCOIL_NAME,56850258059264,Deathcoil,Спираль смерти
ABILITY_DIVINE_BARRAGE_DESC,50954907934720,"Unleashes a barrage of {2} hammers in front of the Paladin on each Main Attack.
Each hammer deals {0}% of Main Attack Damage as {1}.","С каждой основной атакой выпускает залп из {2} молотов перед Паладином.
Каждый молот наносит {0}% урона основной атаки как {1}."
ABILITY_DIVINE_BARRAGE_NAME,56850358722560,Divine Barrage,Божественный залп
ABILITY_FIREBALL_DESC,50954857603072,"Shoots a fireball at the nearest enemy, dealing {1} damage.","Запускает огненный шар в ближайшего врага, нанося {1} урона."
ABILITY_FIREBALL_NAME,56850262253570,Fireball,Огненный шар
ABILITY_FLAME_WALL_DESC,50954857603077,"Creates a flaming wall that applies a {0} effect on any enemy that passes through it, dealing {1} damage.","Создаёт огненную стену, накладывающую эффект {0} на любого врага, проходящего сквозь неё, и наносящую {1} урона."
ABILITY_FLAME_WALL_NAME,56850270642176,Flame Wall,Огненная стена
ABILITY_FROST_ORB_DESC,50954865991680,"Fires a frost orb that deals {0} damage, chilling enemies and leaving an icy trail that greatly increases your move speed.","Запускает морозный шар, наносящий {0} урона, охлаждающий врагов и оставляющий ледяной след, который сильно повышает вашу скорость передвижения."
ABILITY_FROST_ORB_NAME,56850279030784,Frost Orb,Морозный шар
ABILITY_GREATHAMMER_DESC,50954903740418,"Hammers the ground in front, dealing {0} <t0>Physical</t0> damage.","Бьёт молотом по земле перед собой, нанося {0} <t0>физического</t0> урона."
ABILITY_GREATHAMMER_NAME,56850354528256,Greathammer,Великий молот
ABILITY_HAMMERS_OF_WRATH_DESC,50954870185984,"Conjures {0} spinning hammers that spiral outward from where you stand, dealing {1} damage to enemies in their path.
","Создаёт {0} вращающихся молотов, расходящихся спиралью от места, где вы стоите, и наносящих {1} урона врагам на их пути.
"
ABILITY_HAMMERS_OF_WRATH_NAME,56850283225090,Hammers of Wrath,Молоты гнева
ABILITY_ICE_SHARDS_DESC,50954870185990,"Fires {0} ice shards at nearest enemy, dealing {1} damage.","Запускает {0} ледяных осколков в ближайшего врага, нанося {1} урона."
ABILITY_ICE_SHARDS_NAME,56850291613696,Ice Shards,Ледяные осколки
ABILITY_LIGHTNING_ORBS_DESC,50954874380291,"{0} orbs orbit you, dealing {1} damage for each enemy they hit","{0} сфер вращаются вокруг вас, нанося {1} урона каждому задетому врагу"
ABILITY_LIGHTNING_ORBS_NAME,56850295808003,Lightning Orbs,Сферы молний
ABILITY_METEOR_DESC,50954878574594,"Meteor falls from the sky, impacting area and damaging all enemies within with {0} damage.","С неба падает метеор, поражая область и нанося всем врагам в ней {0} урона."
ABILITY_METEOR_NAME,56850304196608,Meteor,Метеор
ABILITY_MORPH_BURNING_DISCHARGE_DESC,50954845020161,"When {0} critically hits a burning enemy, it has a {1} chance to consume the {2} and deal {3} bonus damage based on the remaining {2} damage.","Когда {0} наносит критический удар по горящему врагу, есть {1} шанс поглотить {2} и нанести {3} дополнительного урона на основе оставшегося урона {2}."
ABILITY_MORPH_BURNING_DISCHARGE_NAME,56850245476352,Burning Discharge,Горящий разряд
ABILITY_MORPH_CHAIN_LIGHTNING_DESC,50954849214465,"When {0} critically hits, it has a {1} chance to release a chain, striking {2} enemies with {3} damage.","Когда {0} наносит критический удар, есть {1} шанс выпустить цепь, поражающую {2} врагов с {3} уроном."
ABILITY_MORPH_CHAIN_LIGHTNING_NAME,56850249670656,Chain Lightning,Цепная молния
ABILITY_MORPH_CONCUSSIVE_CHAINS_DESC,50954886963205,{0} have a {1} chance to stun hit target,{0} имеют {1} шанс оглушить задетую цель
ABILITY_MORPH_CONCUSSIVE_CHAINS_NAME,56850320973824,Concussive Chains,Контузящие цепи
ABILITY_MORPH_CONDUCTOR_S_MARK_DESC,50954849214466,Has a {0} chance to apply {1} effect on hit enemy.,Имеет {0} шанс наложить эффект {1} на задетого врага.
ABILITY_MORPH_CONDUCTOR_S_MARK_NAME,56850253864960,Conductor's Mark,Метка проводника
ABILITY_MORPH_CRYO_NOVA_DESC,50954865991681,"{0} shatters on impact, freezing enemies within {2}m.","{0} разлетается при ударе, замораживая врагов в радиусе {2}м."
ABILITY_MORPH_CRYO_NOVA_NAME,56850279030785,Cryo Nova,Крио-нова
ABILITY_MORPH_DEATHCOIL_POOL_DESC,50954853408770,"Enemies hit by {0} have a {1} chance to spawn a corrupting pool, that periodically damages enemies.","Враги, задетые {0}, имеют {1} шанс породить оскверняющую лужу, периодически наносящую урон врагам."
ABILITY_MORPH_DEATHCOIL_POOL_NAME,56850258059265,Deathcoil Pool,Лужа спирали смерти
ABILITY_MORPH_DEATH_CURSE_DESC,50954882768900,{0} has a {1} chance to apply {2} on any hit enemy.,{0} имеет {1} шанс наложить {2} на любого задетого врага.
ABILITY_MORPH_DEATH_CURSE_NAME,56850312585217,Death Curse,Проклятие смерти
ABILITY_MORPH_EXPLOSIVE_SPIKES_DESC,50954886963206,Spikes explode from bleeding enemies hit by {0},"Из кровоточащих врагов, задетых {0}, вырываются шипы"
ABILITY_MORPH_EXPLOSIVE_SPIKES_NAME,56850320973825,Explosive Spikes,Взрывные шипы
ABILITY_MORPH_FIREBALL_REPLICATION_DESC,50954857603073,"When Fireball hits an enemy with {0}, it has a {1} chance to split into another fireball that seeks a random nearby enemy and deals {2} damage.","Когда Огненный шар попадает по врагу с {0}, есть {1} шанс, что он разделится на ещё один огненный шар, который нацелится на случайного ближайшего врага и нанесёт {2} урона."
ABILITY_MORPH_FIREBALL_REPLICATION_NAME,56850266447872,Fireball Replication,Размножение огненных шаров
ABILITY_MORPH_FLAME_RING_DESC,50954861797376,"The {0} now forms a Ring instead. The core pulses, periodically pulling enemies towards.","{0} теперь образует Кольцо. Ядро пульсирует, периодически притягивая врагов."
ABILITY_MORPH_FLAME_RING_NAME,56850270642177,Flame Ring,Огненное кольцо
ABILITY_MORPH_JUDGMENT_DETONATION_DESC,50954870185985,"When a hammer hits an enemy, it has a {1} chance to explode, dealing {2} damage to all nearby enemies.
","Когда молот попадает по врагу, есть {1} шанс, что он взорвётся, нанося {2} урона всем ближайшим врагам.
"
ABILITY_MORPH_JUDGMENT_DETONATION_NAME,56850287419392,Judgment Detonation,Детонация суда
ABILITY_MORPH_LIGHTFALL_DESC,50954903740419,Critical hits with main attack have a chance to create a holy beam from sky,Критические удары основной атакой имеют шанс создать священный луч с небес
ABILITY_MORPH_LIGHTFALL_NAME,56850354528257,Lightfall,Падение света
ABILITY_MORPH_MOVING_WALL_DESC,50954861797378,The {0} will now move away from you.,{0} теперь будет двигаться прочь от вас.
ABILITY_MORPH_MOVING_WALL_NAME,56850274836480,Moving Wall,Движущаяся стена
ABILITY_MORPH_NECROTIC_SURGE_POOL_DESC,50954882768899,"Enemies hit by {0} have a {1} chance to spawn a corrupting pool, that periodically damages enemies.","Враги, задетые {0}, имеют {1} шанс породить оскверняющую лужу, периодически наносящую урон врагам."
ABILITY_MORPH_NECROTIC_SURGE_POOL_NAME,56850312585216,Necrotic Surge Pool,Лужа некротического всплеска
ABILITY_MORPH_RENDING_CHAINS_DESC,50954891157505,{0} now apply {1} on all hit enemies.,{0} теперь накладывают {1} на всех задетых врагов.
ABILITY_MORPH_RENDING_CHAINS_NAME,56850325168128,Rending Chains,Раздирающие цепи
ABILITY_MORPH_SCORCHED_EARTH_DESC,50954878574595,Meteors leave the ground burning after impact. Any enemy walking over gets {0} effect.,"Метеоры оставляют после удара горящую землю. Любой враг, прошедший по ней, получает эффект {0}."
ABILITY_MORPH_SCORCHED_EARTH_NAME,56850304196609,Scorched Earth,Выжженная земля
ABILITY_MORPH_SPIKE_BURST_DESC,50954895351808,"Collecting a {0} lance fires {1} spikes outward, each dealing {2} damage and causing {3} on enemies","Подбор пики {0} выпускает {1} шипов наружу, каждый из которых наносит {2} урона и вызывает {3} у врагов"
ABILITY_MORPH_SPIKE_BURST_NAME,56850333556736,Spike Burst,Всплеск шипов
ABILITY_NECROTIC_SURGE_DESC,50954882768898,"Unleashes a chain of necrotic energy that jumps between {0} enemies, dealing {1} damage and spreading {2}.","Высвобождает цепь некротической энергии, перескакивающую между {0} врагами, нанося {1} урона и распространяя {2}."
ABILITY_NECROTIC_SURGE_NAME,56850308390915,Necrotic Surge,Некротический всплеск
ABILITY_PIERCING_CHAINS_DESC,50954886963204,"Throw {0} spiked chains at the enemies, damaging all in path with {1} damage.","Бросает {0} шипастых цепей во врагов, нанося всем на пути {1} урона."
ABILITY_PIERCING_CHAINS_NAME,56850316779521,Piercing Chains,Пробивающие цепи
ABILITY_TRAIT_BARBED_CHAINS_DESC,50954891157508,Chains deal more damage,Цепи наносят больше урона
ABILITY_TRAIT_BARBED_CHAINS_NAME,56850329362433,Barbed Chains,Зазубренные цепи
ABILITY_TRAIT_BLOOD_SIP_DESC,51255475953674,Lifesteal Chance,Шанс вампиризма
ABILITY_TRAIT_BLOOD_SIP_NAME,56850375499778,Blood Sip,Глоток крови
ABILITY_TRAIT_BRUTAL_FORCE_DESC,51255480147970,Physical damage,Физический урон
ABILITY_TRAIT_BRUTAL_FORCE_NAME,56850375499783,Brutal Force,Грубая сила
ABILITY_TRAIT_CHAINED_ROT_DESC,50954886963200,More enemies get hit,Задевается больше врагов
ABILITY_TRAIT_CHAINED_ROT_NAME,56850312585218,Chained Rot,Цепная гниль
ABILITY_TRAIT_CHAINMASTERY_DESC,50954891157509,More chains,Больше цепей
ABILITY_TRAIT_CHAINMASTERY_NAME,56850329362434,Chainmastery,Мастерство цепей
ABILITY_TRAIT_CRACKLING_POWER_DESC,51255475953675,Lightning damage,Урон молнией
ABILITY_TRAIT_CRACKLING_POWER_NAME,56850375499779,Crackling Power,Трескучая мощь
ABILITY_TRAIT_CRITICAL_CHANCE_DESC,51255475953665,Increases critical chance,Повышает шанс крита
ABILITY_TRAIT_CRITICAL_CHANCE_NAME,56850371305475,Critical Chance,Шанс крита
ABILITY_TRAIT_CRITICAL_DAMAGE_DESC,51255475953666,Increases critical damage,Повышает критический урон
ABILITY_TRAIT_CRITICAL_DAMAGE_NAME,56850371305476,Critical Damage,Критический урон
ABILITY_TRAIT_DOOM_SPREAD_DESC,50954853408773,Spread Chance,Шанс распространения
ABILITY_TRAIT_DOOM_SPREAD_NAME,56850262253569,Doom Spread,Распространение рока
ABILITY_TRAIT_ENDLESS_BARRAGE_DESC,50954899546116,Overcharge Active Duration,Длительность активной перегрузки
ABILITY_TRAIT_ENDLESS_BARRAGE_NAME,56850350333953,Endless Barrage,Бесконечный залп
ABILITY_TRAIT_ENDURANCE_DESC,51255475953676,Maximum life,Максимальное здоровье
ABILITY_TRAIT_ENDURANCE_NAME,56850375499780,Endurance,Выносливость
ABILITY_TRAIT_EXPANDING_CRATER_DESC,50954878574597,Area Bonus,Бонус площади
ABILITY_TRAIT_EXPANDING_CRATER_NAME,56850308390912,Expanding Crater,Растущий кратер
ABILITY_TRAIT_EXTRA_COIL_DESC,50954853408772,Extra Initial Projectile,Дополнительный начальный снаряд
ABILITY_TRAIT_EXTRA_COIL_NAME,56850262253568,Extra Coil,Дополнительная спираль
ABILITY_TRAIT_FALLING_BARRAGE_DESC,50954882768897,More Meteors,Больше метеоров
ABILITY_TRAIT_FALLING_BARRAGE_NAME,56850308390914,Falling Barrage,Падающий залп
ABILITY_TRAIT_FESTERING_TOUCH_DESC,50954886963203,Blight stacks applied,Накладывается стаков порчи
ABILITY_TRAIT_FESTERING_TOUCH_NAME,56850316779520,Festering Touch,Гниющее касание
ABILITY_TRAIT_FRIGID_IMPACT_DESC,50954874380288,Increases speed and damage of Ice Shards,Повышает скорость и урон Ледяных осколков
ABILITY_TRAIT_FRIGID_IMPACT_NAME,56850295808000,Frigid Impact,Морозный удар
ABILITY_TRAIT_FROSTBITE_MASTERY_DESC,51255471759365,Cold damage,Холодный урон
ABILITY_TRAIT_FROSTBITE_MASTERY_NAME,56850371305473,Frostbite Mastery,Мастерство обморожения
ABILITY_TRAIT_FROST_ORBS_COUNT_DESC,50954865991683,More frost orbs,Больше морозных шаров
ABILITY_TRAIT_FROST_ORBS_COUNT_NAME,56850283225088,Frost Orbs Count,Число морозных шаров
ABILITY_TRAIT_FROST_ORBS_SIZE_DESC,50954865991684,Increases size of Frost Orbs,Увеличивает размер Морозных шаров
ABILITY_TRAIT_FROST_ORBS_SIZE_NAME,56850283225089,Frost Orbs Size,Размер морозных шаров
ABILITY_TRAIT_FROST_SHATTER_DESC,8358357791420416,Increases damage,Повышает урон
ABILITY_TRAIT_FROST_SHATTER_NAME,8358273410412544,Frost Shatter,Морозный раскол
ABILITY_TRAIT_GLIDE_LEAP_DESC,51255475953667,Increases dash distance,Увеличивает дальность рывка
ABILITY_TRAIT_GLIDE_LEAP_NAME,56850371305477,Glide Leap,Скользящий прыжок
ABILITY_TRAIT_HAMMERFALL_IMPACT_DESC,50954899546115,Overcharge Damage,Урон перегрузки
ABILITY_TRAIT_HAMMERFALL_IMPACT_NAME,56850350333952,Hammerfall Impact,Удар молотопада
ABILITY_TRAIT_HAMMERS_COUNT_DESC,50954870185989,Increase hammers count,Увеличивает число молотов
ABILITY_TRAIT_HAMMERS_COUNT_NAME,56850287419395,Hammers Count,Число молотов
ABILITY_TRAIT_HAMMERS_DAMAGE_DESC,50954870185987,Increase hammers damage,Увеличивает урон молотов
ABILITY_TRAIT_HAMMERS_DAMAGE_NAME,56850287419393,Hammers Damage,Урон молотов
ABILITY_TRAIT_HAMMERS_DURATION_DESC,50954870185988,Increase individual hammer duration,Увеличивает длительность отдельного молота
ABILITY_TRAIT_HAMMERS_DURATION_NAME,56850287419394,Hammers Duration,Длительность молотов
ABILITY_TRAIT_JUDGMENT_S_EDGE_DESC,50954907934722,Main attack damage,Урон основной атаки
ABILITY_TRAIT_JUDGMENT_S_EDGE_NAME,56850362916865,Judgment’s Edge,Грань суда
